uid	DE (ai_description_de)	ES (dry-run, voll)
1	Der Grosse Ahornboden bei Karwendel in den Alpen als Gigapixel-Aufnahme mit 1,33 GP (60896 × 21826 Pixel). Fotografie von Daniel Richter. Geeignet für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messen. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	El Gran Ahornboden cerca de Karwendel en los Alpes como toma gigapíxel con 1,33 GP (60896 × 21826 píxeles). Fotografía de Daniel Richter. Apto para aplicaciones de gran formato como techos tensados, decoración mural XXL o ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
2	Das Schloss Belvedere bei Weimar als 0,25-Gigapixel-Aufnahme mit 31064 x 8049 Pixeln von Daniel Richter. Geeignet für repräsentative Wandgestaltung, Großformatdrucke und Messebau. Hervorragende Schärfe auch bei mehreren Metern Breite. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	El castillo Belvedere cerca de Weimar como toma de 0,25 gigapíxeles con 31064 x 8049 píxeles de Daniel Richter. Apto para decoración mural representativa, impresiones en gran formato y construcción de stands. Nitidez excepcional incluso en varios metros de ancho. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
3	Burji Khalifa in Dubai in 2,50 Gigapixel (34055 × 73345 Pixel). Fotografiert von Daniel Richter. Ideal für großformatige Wandgestaltung und architektonische Raumkonzepte. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Burji Khalifa en Dubái en 2,50 gigapíxeles (34055 × 73345 píxeles). Fotografiado por Daniel Richter. Ideal para decoración mural de gran formato y conceptos de espacios arquitectónicos. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
4	Der Grosse Ahornboden bei Karwendel in den Alpen als Gigapixel-Aufnahme mit 1,33 GP (60896 × 21826 Pixel). Fotografie von Daniel Richter. Geeignet für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messen. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	El Gran Ahornboden cerca de Karwendel en los Alpes como toma gigapíxel con 1,33 GP (60896 × 21826 píxeles). Fotografía de Daniel Richter. Apto para aplicaciones de gran formato como techos tensados, decoración mural XXL o ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
5	Ameisen am Rand einer Straße in 1,08 Gigapixel (77709 * 13911 px). Aufnahme von Daniel Richter. Geeignet für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messeauftritte. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Hormigas al borde de una carretera en 1,08 gigapíxeles (77709 * 13911 px). Toma de Daniel Richter. Apto para aplicaciones de gran formato como techos tensados, decoración mural XXL o participaciones en ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
6	Ameisen am Rand einer Straße in 1,08 Gigapixel (77709 * 13911 px). Aufnahme von Daniel Richter. Geeignet für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messeauftritte. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Hormigas al borde de una carretera en 1,08 gigapíxeles (77709 * 13911 px). Toma de Daniel Richter. Apto para aplicaciones de gran formato como techos tensados, decoración mural XXL o participaciones en ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
7	Ameisenstraße am Wegesrand in 0,80 Gigapixel (47164 * 16944 px). Aufnahme von Daniel Richter. Geeignet für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messeauftritte. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Camino de hormigas al borde del sendero en 0,80 gigapíxeles (47164 * 16944 px). Toma de Daniel Richter. Apto para aplicaciones de gran formato como techos tensados, decoración mural XXL o participaciones en ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
8	Rand eines Fußwegs als Gigapixel-Fotografie mit 0,25 GP (19377 × 12918 Pixel). Fotografie von Daniel Richter. Geeignet für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messen. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Borde de una acera como fotografía gigapíxel con 0,25 GP (19377 × 12918 píxeles). Fotografía de Daniel Richter. Apto para aplicaciones de gran formato como techos tensados, decoración mural XXL o ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
9	Ameisenstraße am Wegesrand als Gigapixel-Aufnahme mit 0,25 GP (19376 × 12917 Pixel). Fotografie von Daniel Richter. Geeignet für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messen. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Camino de hormigas al borde del sendero como toma gigapíxel con 0,25 GP (19376 × 12917 píxeles). Fotografía de Daniel Richter. Apto para aplicaciones de gran formato como techos tensados, decoración mural XXL o ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
10	Ameisenstraße am Wegesrand als Gigapixel-Aufnahme mit 0,25 GP (19376 × 12917 Pixel). Fotografie von Daniel Richter. Geeignet für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messen. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Camino de hormigas al borde del sendero como toma gigapíxel con 0,25 GP (19376 × 12917 píxeles). Fotografía de Daniel Richter. Apto para aplicaciones de gran formato como techos tensados, decoración mural XXL o ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
