uid	DE-slug	ES-slug
1	gigapixel-aufnahme	toma-gigapixel
2	stitching	stitching
3	terapixel	terapixel
4	multiviewpoint-gigapixel	multiviewpoint-gigapixel
5	hdr-gigapixel-mit-bewegung	hdr-gigapixel-con-movimiento
6	serienproduktion-gigapixel	produccion-en-serie-gigapixel
7	focus-stacking-grossformat	focus-stacking-gran-formato
8	megapixel-aufloesung	resolucion-en-megapixeles
9	panorama-stitching	panorama-stitching
10	stitching-artefakte	artefactos-de-stitching
11	parallaxenfehler	error-de-paralaje
12	nodalpunkt	punto-nodal
13	hdr-verfahren	tecnica-hdr
14	bracketing	bracketing
15	raw-workflow	flujo-de-trabajo-raw
16	pixelpitch	pixelpitch
17	dpi-bei-grossformatdruck	dpi-en-impresion-de-gran-formato
18	ppi-vs-dpi	ppi-vs-dpi
19	aufloesung-pro-quadratmeter	resolucion-por-m2
20	betrachtungsabstand	distancia-de-observacion
21	grossformatdruck	impresion-de-gran-formato
22	color-management	color-management
23	icc-profil	perfil-icc
24	farbraum	espacio-de-color-srgb-adobergb-p3
25	druckvorstufe	preimpresion
26	tile-pyramide	piramide-de-teselas
27	deep-zoom	deep-zoom
28	spanndecke-grossformat-print	techo-tensado-impresion-gran-formato
29	polfilter-einsatz	uso-del-filtro-polarizador
59	schaerfentiefe	profundidad-de-campo
60	hyperfokaldistanz	distancia-hiperfocal
61	beugungsunschaerfe	desenfoque-por-difraccion
62	chromatische-aberration	aberracion-cromatica
63	vignettierung	vineteo
64	weissabgleich	balance-de-blancos
65	iso-bildrauschen	iso-ruido-de-imagen
66	dynamikumfang	rango-dinamico
67	fokus-bracketing	bracketing-de-enfoque
68	sensorgroesse-crop-faktor	tamano-de-sensor-factor-de-recorte
69	panoramakopf	cabezal-panoramico
70	tonemapping	tonemapping
71	aufloesungsvermoegen	poder-de-resolucion
72	ki-upscaling-interpolation	escalado-por-ia-interpolacion
73	gigapixel-viewer-zoomify	gigapixel-viewer-zoomify
74	embedding-bildsuche	busqueda-de-imagenes-por-embedding
75	terapixel-verfahren	metodo-terapixel
93	uv-druck	impresion-uv
94	latexdruck	impresion-latex
95	sublimationsdruck	impresion-por-sublimacion
96	alu-dibond	alu-dibond
97	acrylglas-hinterglasdruck	acrilico-impresion-tras-cristal-acrilico
98	leinwanddruck	impresion-en-lienzo
99	akustikbild	cuadro-acustico
100	fototapete	fotomural
101	messebau-grafik	grafica-para-construccion-de-stands

# Kollisionen unter den 55 ES-Slugs: KEINE
