uid	field	DE	ES (dry-run; kw auf 60 Z. gekappt)
1	title	Der Grosse Ahornboden bei Karwendel in den Alpen	El Gran Ahornboden cerca de Karwendel en los Alpes
1	keywords	alpenlandschaft, april, ausflug, bildhaft, blues, europa, felsen, felsformationen, feuchtigkeit, freiheit, idyllisch, jahreszeitlich, landschaftlich, laubbäume, laubwerk, natursteine, rasenflächen, raum, reisen, steinwand, wölben	paisaje alpino, abril, excursión, pintoresco, blues, Europa,
2	title	Schloss Belvedere bei Weimar	
2	keywords	Wartezimmer alt, altbau, altes, altes haus, angemalt, angestrahlt, antik, antikes, architektonisch, architektur, attraktion, ausflug, ausflüge, ausgang, ausgeglichen, äusseres, baustile, bauwerke, beige, bejahrt, berühmtes, bewölkt, blue sky, brunnen, building, bunt, dekoration, denkmal, denkmäler, deutsche, deutschland, draußen, einträchtig, erholung, erlebnis, europa, fassade, fassaden, fenster, ferien, garten, gärten, gebäude, gebaut, gelbe, gelblich, geordnet, gepflegt, geschichte, geschichtlich, gestrichen, goethe, gras, gräser, grashalme, grün, gruppe, hausansicht, hell, herrlichkeiten, historic, history, hoheitsvoll, idyllisch, klassik, königlich, konstruiert, konstruktionen, konzepte, konzeptuell, lawn, luxus, macht, mächte, mauerwerke, monuments, nostalgie, nostalgisch, palace, palast, panorama, panoramen, parks, perfektion, picturesque, platz, plätze, politik, rasenflächen, rasenplatz, rasenplätze, reich, reichtum, reisen, reiseziele, restauriert, retro, romatisch, saniert, sanierungen, schloss, schlösser, schöner, schönes wetter, schönheit, schotter, schotterwege, sehenswürdigkeiten, sightseeing, sommer, sonnenlicht, sonnenschein, sonnig, spazierengehen, spaziergang, spaziergänge, springbrunnen, stil, thüringen, tourismus, touristen, touristenattraktionen, touristisch, traditionen, traum, travel, travelling, trip, turm, türme, überfluss, uralte, verputzt, wandern, wanderungen, wege, weimar, welterbe, herrenhaus, königshaus, kulturgut	sala de espera, antiguo, edificio antiguo, antigüedad, casa 
3	title	Burji Khalifa in Dubai	
3	keywords	Wartezimmer, allein, alleinstehend, architektonisch, architektur, attraktion, ausflug, ausflüge, ausgeglichen, äusseres, baustile, bauwerke, befreiend, bekannt, beklemmend, berühmtes, blau, blauer, bläulich, building, downtown, dramatisch, draußen, eigentum, eigentumswohnungen, eins, einsam, erfolge, fantasie, fassade, fassaden, financial, firma, firmen, freigestellt, freiheit, freistellen, futuristisch, gebäude, gebaut, geformt, gewässer, glänzen, glänzend, glas, gläser, glasfassaden, glatt, gleißchmäßig, gross, hausansicht, hell, hoch, hochhaus, hotels, innenstadt, innenstädte, isoliert, klar, konstruiert, konstruktionen, konzepte, konzeptuell, kulissen, kunstvoll, linien, lonely, lüfte, luxus, macht, mächte, mehrfamilienhaus, mehrfamilienhäuser, mietshaus, mietshäuser, mietwohnungen, modern, monuments, neubau, niemand, office, orientierung, orientierungspunkte, perfektion, politik, reisen, reiseziele, schönes, wetter, schönheit, sehenswürdigkeiten, sightseeing, silhouetten, single, skyline, skyscraper, solide, sonnig, stabil, stadt, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, stahl, stil, struktuiert, strukturen, symmetrie, technologien, tourismus, touristen, touristenattraktionen, touristisch, town, travel, travelling, trip, turm, türme, über, überfluss, visionen, wahrzeichen, wolkenkratzer, zentren, zentrum	sala de espera, solo, solitario, arquitectónico, arquitectur
4	title	Der Grosse Ahornboden bei Karwendel in den Alpen	El Gran Ahornboden cerca de Karwendel en los Alpes
4	keywords	alpenlandschaft, april, ausflug, bildhaft, blues, europa, felsen, felsformationen, feuchtigkeit, freiheit, idyllisch, jahreszeitlich, landschaftlich, laubbäume, laubwerk, natursteine, rasenflächen, raum, reisen, steinwand, wölben	paisaje alpino, abril, excursión, pintoresco, blues, Europa,
5	title	Ameisen am Rand einer Straße	Hormigas en el borde de una calle
5	keywords	fauna, fusswege, gras, gräser, lawn, natur, naturfotos, sidewalk, straßenrand, straßenränder, tiere, umwelt, way, wege, Insekten, Ameisen	fauna, senderos a pie, hierba, gramíneas, césped, naturaleza
6	title	Ameisen am Rand einer Straße	Hormigas en el borde de una calle
6	keywords	fauna, fusswege, gras, gräser, lawn, natur, naturfotos, sidewalk, straßenrand, straßenränder, tiere, umwelt, way, wege, Insekten, Ameisen	fauna, senderos a pie, hierba, gramíneas, césped, naturaleza
7	title	Grenze zwischen Gras und Asphalt	Límite entre hierba y asfalto
7	keywords	fauna, fusswege, gras, gräser, lawn, nahaufnahmen, natur, naturfotos, rasen, sidewalk, straßenrand, straßenränder, tiere, umwelt, way, wege, Insekten, Ameisen	fauna, senderos a pie, hierba, gramíneas, césped, primer pla
8	title	Rand eines Fußwegs	Borde de un sendero peatonal
8	keywords	fauna, fusswege, gras, gräser, lawn, nahaufnahmen, natur, naturfotos, rasen, sidewalk, straßenrand, straßenränder, tiere, umwelt, way, wege, Insekten, Ameisen	fauna, senderos a pie, hierba, gramíneas, césped, primer pla
9	title	Ameisenstraße am Wegesrand	Sendero de hormigas al borde del camino
9	keywords	fauna, fusswege, gras, gräser, lawn, nahaufnahmen, natur, naturfotos, rasen, sidewalk, straßenrand, straßenränder, tiere, umwelt, way, wege, Insekten, Ameisen	fauna, senderos a pie, hierba, gramíneas, césped, primer pla
10	title	Ameisenstraße am Wegesrand	Sendero de hormigas al borde del camino
10	keywords	fauna, fusswege, gras, gräser, lawn, nahaufnahmen, natur, naturfotos, rasen, sidewalk, straßenrand, straßenränder, tiere, umwelt, way, wege, Insekten, Ameisen	fauna, senderos a pie, hierba, gramíneas, césped, primer pla
12	title	Anfangsbuchstabe	Letra inicial
12	keywords	Kunst, Figur, Statue, Bronze	arte, figura, estatua, bronce
13	title	St. Johann Nepomuk Kirche in München	Iglesia St. Johann Nepomuk en Múnich
13	keywords	antikes, architektonisch, architektur, attraktion, ausflug, ausflüge, äusseres, barock, baustile, bauwerke, bemalt, besinnung, bibel, bildhaft, bmw, building, bunt, bürgersteige, city, deko, dekor, dekoration, denkmal, denkmäler, details, deutsche, deutschland, downtown, draußen	antigüedad, arquitectónico, arquitectura, atracción, excursi
14	title	Die Asamkirche in München	
