uid	DE (ai_description_de)	ES
86	Ultra-hochaufgelöste Gigapixel-Aufnahme von Dachpappe mit 0,18 Gigapixel (28961 × 6335 px). Fotografiert von Daniel Richter. Pixelgenau scharf auf mehrere Meter Breite. Geeignet für Spanndecken, XXL-Wandgestaltungen und Messebau. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Toma gigapíxel ultra-alta resolución de tela asfáltica con 0,18 Gigapixel (28961 × 6335 px). Fotografiado por Daniel Richter. Enfoque pixelante exacto en varios metros de ancho. Apto para techos tensados, decoración mural XXL y construcción de stands. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
87	Ultra-hochaufgelöste Gigapixel-Aufnahme von Dachpappe mit 0,14 Gigapixel (19861 × 7013 px). Fotografiert von Daniel Richter. Pixelgenau scharf auf mehrere Meter Breite. Geeignet für Spanndecken, XXL-Wandgestaltungen und Messebau. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Toma gigapíxel ultra-alta resolución de tela asfáltica con 0,14 Gigapixel (19861 × 7013 px). Fotografiado por Daniel Richter. Enfoque pixelante exacto en varios metros de ancho. Apto para techos tensados, decoración mural XXL y construcción de stands. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
93	Ultra-hochauflösende Aufnahme von Hochhäusern in Dubai (0,25 Gigapixel, 9691 × 25816 Pixel) von Daniel Richter. Die Architekturaufnahme zeigt moderne Bauwerke vor blauem Himmel. Eignet sich für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messeauftritte. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Captura ultra-alta resolución de rascacielos en Dubai (0,25 Gigapixel, 9691 × 25816 píxeles) de Daniel Richter. La toma arquitectónica muestra obras modernas contra un cielo azul. Se adapta a aplicaciones de gran formato como techos tensados, decoración mural XXL o presencia en ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
97	Ultra-hochauflösende Aufnahme von großem und kleinem Hochhaus nebeneinander (0,25 Gigapixel, 12914 × 19370 Pixel) von Daniel Richter. Architektonischer Kontrast zwischen verschiedenen Bauwerken. Eignet sich für Spanndecken, XXL-Wandgestaltung und großformatige Ausstellungsdrucke. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Captura ultra-alta resolución de un rascacielos grande y uno pequeño uno junto al otro (0,25 Gigapixel, 12914 × 19370 píxeles) de Daniel Richter. Contraste arquitectónico entre diferentes estructuras. Se adapta a techos tensados, decoración mural XXL e impresiones de exhibición de gran formato. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
102	Ultra-hochauflösende Aufnahme von Neubauten in Dubai (0,25 Gigapixel, 15827 × 15827 Pixel) von Daniel Richter. Moderne Architektur und Baustile in exakter Detailtreue. Ideal für großformatige Anwendungen wie Spanndecken, XXL-Wandgestaltung oder Messestände. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Captura ultra-alta resolución de construcciones nuevas en Dubái (0,25 gigapíxel, 15827 × 15827 píxeles) fotografiado por Daniel Richter. Arquitectura moderna y estilos de construcción con precisión exacta en los detalles. Ideal para aplicaciones de gran formato como techos tensados, decoración mural XXL o stands de ferias. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
106	Ultra-hochauflösende Aufnahme von fertigem und unfertigem Hochhaus nebeneinander (0,25 Gigapixel, 15827 × 15827 Pixel) von Daniel Richter. Kontrast zwischen vollendeter und im Bau befindlicher Architektur. Geeignet für Spanndecken, XXL-Wandgestaltung und großformatige Präsentationen. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Captura ultra-alta resolución de rascacielos terminado e inconcluso uno junto al otro (0,25 gigapíxel, 15827 × 15827 píxeles) fotografiado por Daniel Richter. Contraste entre arquitectura completada y en construcción. Apto para techos tensados, decoración mural XXL y presentaciones de gran formato. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
310	Gigapixel-Aufnahme von Kirschbaumblüten mit 0,11 Gigapixel (15180 × 7352 Pixel). Fotografiert von Daniel Richter. Geeignet für Spanndecken, XXL-Wandgestaltung und den Messebau. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Toma gigapíxel de flores de cerezo con 0,11 Gigapixel (15180 × 7352 píxeles). Fotografiado por Daniel Richter. Apto para techos tensados, decoración mural XXL y construcción de stands. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
356	Hochaufgelöste Aufnahme von Nadelbäumen im Winter mit 0,25 Gigapixel (15827 x 15827 Pixel). Fotograf: Daniel Richter. Perfekt für Spanndecken, XXL-Wandgestaltung und großformatige Dekoration. Extrem scharfe Details bei meterbreiten Ausdrucken. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Toma de alta resolución de árboles de hoja perenne en invierno con 0,25 Gigapixel (15827 x 15827 píxeles). Fotógrafo: Daniel Richter. Perfecta para techos tensados, decoración mural XXL y decoración de gran formato. Detalles extremadamente nítidos en impresiones de varios metros de ancho. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
615	Texturfotografie von altem Putz mit 0,90 Gigapixel (47.779 × 18.867 Pixel) von Daniel Richter. Das Bild zeigt eine vernachlässigte weiß-blaue Wand mit kaputtem, altem Verputz. Geeignet für Spanndecken, Wandpaneele und großformatige Innenraumdrucke. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Fotografía de textura de yeso antiguo con 0,90 gigapíxeles (47.779 × 18.867 píxeles) de Daniel Richter. La imagen muestra una pared blanca y azul descuidada con yeso antiguo y dañado. Apto para techos tensados, paneles de pared e impresiones de interior de gran formato. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
940	Hochauflösende Aufnahme von Zahnbürsten mit 0,25 Gigapixel (14939 x 16756 Pixel) von Daniel Richter. Das Bild zeigt elektrische Zahnbürsten und Dentalhygiene-Artikel für zahnärztliche Praxen. Einsatzbereich: Spanndecken, XXL-Wandgestaltung und Messebau. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Captura de alta resolución de cepillos de dientes con 0,25 Gigapixel (14939 x 16756 píxeles) de Daniel Richter. La imagen muestra cepillos de dientes eléctricos y artículos de higiene dental para consultorios odontológicos. Ámbito de aplicación: techos tensados, decoración mural XXL y construcción de stands. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
941	Präzisionsaufnahme von Zahnarzt-Instrumenten mit 0,18 Gigapixel (20792 x 8618 Pixel) von Daniel Richter. Das Motiv zeigt sterile, saubere Medizinprodukte und Hygiene-Details aus der Zahnmedizin. Für Großformate wie Spanndecken, Messewände und XXL-Drucke geeignet. Echte Kameraaufnahme, keine KI-Generierung, kein KI-Upscaling.	Captura de precisión de instrumentos de dentista con 0,18 Gigapixel (20792 x 8618 píxeles) de Daniel Richter. El motivo muestra productos médicos estériles y limpios y detalles de higiene de la odontología. Apto para grandes formatos como techos tensados, paredes de ferias e impresiones XXL. Captura de cámara auténtica, sin generación por IA, sin upscaling por IA.
